scenario,rep_num,patient_id,arrival_ts,got_greeter_ts,release_greeter_ts,got_reg_ts,release_reg_ts,got_vaccinator_ts,release_vaccinator_ts,got_scheduler_ts,release_scheduler_ts,exit_system_ts,wait_for_greeter,wait_for_reg,wait_for_vaccinator,vaccination_time,wait_for_scheduler,post_vacc_time,time_in_system
base_v15,1,824,271.518709825144,271.518709825144,271.7522991067465,274.0466848338656,274.29220164588,274.29220164588,278.92511653854086,,,294.0455710403238,0.0,2.2943857271191064,0.0,4.632914892660892,,15.120454501782945,22.52686121517985
base_v15,1,828,273.56926686043823,273.56926686043823,273.7807966882476,274.3850040743927,274.4312081599012,274.4312081599012,277.48090685673816,,,294.3824485015284,0.0,0.6042073861451627,0.0,3.0496986968369697,,16.9015416447902,20.813181641090125
base_v15,1,820,270.1140037952073,270.1140037952073,270.2828809139406,271.04196168953564,271.8986489779516,272.42576298553746,276.39030537231173,276.39030537231173,277.4930419308171,294.47302115179133,0.0,0.7590807755950664,0.5271140075858511,3.964542386774269,0.0,18.0827157794796,24.359017356584047
base_v15,1,823,271.1409603437431,271.1409603437431,271.4119181672467,272.9092819236752,274.863133380311,274.87727158876726,278.8603002016817,278.8603002016817,279.76601835355655,294.58862644742715,0.0,1.497363756428456,0.0141382084562451,3.983028612914495,0.0,15.728326245745391,23.44766610368407
base_v15,1,826,272.1053354319925,272.1053354319925,272.39967617766,274.29731293956587,274.80485806201943,274.80485806201943,279.24768589290164,,,294.90335613579543,0.0,1.897636761905915,0.0,4.442827830882209,,15.655670242893793,22.798020703802933
base_v15,1,830,273.9536906274036,273.9536906274036,274.2111758261694,274.80485806201943,274.84987624288567,274.84987624288567,278.4702977802073,278.4702977802073,279.4219174298846,294.9651813190967,0.0,0.5936822358500535,0.0,3.620421537321647,0.0,16.494883538889383,21.011490691693098
base_v15,1,829,273.8333524406567,273.8333524406567,274.07958772603376,274.4312081599012,274.9550664843252,275.3258919143909,279.132988575287,279.3484944348557,280.31970370866395,295.5361890522854,0.0,0.3516204338674242,0.3708254300657359,3.807096660896093,0.2155058595687364,16.403200476998393,21.702836611628697
base_v15,1,821,270.47416119841404,270.47416119841404,270.6849599630478,271.8986489779516,274.34651731957126,274.34651731957126,278.96875152705906,279.0519365355153,279.93540691481263,296.1596228908582,0.0,1.2136890149038209,0.0,4.622234207487793,0.0831850084562688,17.190871363799147,25.685461692444164
base_v15,1,837,274.87501793883536,274.87501793883536,275.14767819650035,275.5245248212228,275.6892233217257,276.7933764252532,281.2081449475493,,,296.33431248800423,0.0,0.3768466247224751,1.1041531035274943,4.414768522296072,,15.126167540454958,21.459294549168877
base_v15,1,827,273.4022186016941,273.4022186016941,273.62037155721663,274.34651731957126,274.8908572747947,275.16722809101134,279.41970935640745,279.4219174298846,280.29497972788585,296.5948129470914,0.0,0.7261457623546335,0.2763708162166267,4.2524812653961135,0.0022080734771634,17.175103590683932,23.19259434539731
base_v15,1,833,274.15760359776186,274.15760359776186,274.36752656090067,274.8908572747947,276.4049687377704,277.48090685673816,281.7849676576318,281.7849676576318,282.7703420142997,297.06290610719697,0.0,0.5233307138940404,1.0759381189677697,4.304060800893637,0.0,15.27793844956517,22.905302509435103
base_v15,1,836,274.38873657370544,274.38873657370544,274.7002394954151,274.9735440451698,276.76586556236265,277.92020628615865,281.462718145172,,,297.2317209472681,0.0,0.2733045497546982,1.1543407237959968,3.5425118590133597,,15.76900280209611,22.842984373562672
base_v15,1,839,275.3472412001974,275.3472412001974,275.58996774542805,276.4049687377704,277.00396530746235,278.4702977802073,282.0877797764072,282.0877797764072,283.1555821708633,297.7723221006136,0.0,0.815000992342334,1.4663324727449665,3.617481996199899,0.0,15.684542324206348,22.42508090041616
base_v15,1,835,274.3681870105673,274.3681870105673,274.5908577645416,274.95756441263336,274.9735440451698,276.39030537231173,280.88916475320343,,,297.8255544308932,0.0,0.3667066480917924,1.4167613271419557,4.498859380891702,,16.93638967768976,23.45736742032591
base_v15,1,845,276.4107965416562,276.4107965416562,276.72009158890626,277.6755090206303,277.8073515462825,279.132988575287,282.9448819391877,282.9448819391877,283.9032811865493,298.0323538761044,0.0,0.9554174317240154,1.325637029004497,3.811893363900708,0.0,15.0874719369167,21.6215573344482
base_v15,1,842,276.307266136878,276.307266136878,276.5984984603614,277.3650734360311,277.74248108195496,278.96875152705906,283.07699046740066,283.07699046740066,284.1257973597727,298.1014074196867,0.0,0.7665749756696982,1.2262704451040918,4.108238940341607,0.0,15.02441695228606,21.79414128280871
base_v15,1,838,274.9739074499379,274.9739074499379,275.2758622724903,275.6892233217257,277.6593923704894,278.8603002016817,283.0238980250938,,,298.19855525881195,0.0,0.4133610492353909,1.2009078311923531,4.163597823412033,,15.174657233718165,23.224647808874067
base_v15,1,831,274.02793713140574,274.02793713140574,274.2562328358799,274.863133380311,275.5245248212228,276.40988728857576,280.52241134449247,,,298.2169747058431,0.0,0.6069005444310847,0.8853624673529339,4.112524055916708,,17.694563361350617,24.18903757443735
base_v15,1,843,276.3548124588104,276.3548124588104,276.4824657214704,277.00396530746235,277.3650734360311,278.55238043750296,282.71109607295654,,,298.2469795870595,0.0,0.5214995859919327,1.1873070014718792,4.158715635453575,,15.535883514102975,21.892167128249127
base_v15,1,832,274.1335964945848,274.1335964945848,274.2544235398926,274.84987624288567,274.95756441263336,276.17517365291167,280.4250224069327,,,298.9896890601891,0.0,0.5954527029930432,1.217609240278307,4.249848754021059,,18.56466665325638,24.856092565604342
base_v15,1,840,275.5139027218569,275.5139027218569,275.7704226912744,276.76586556236265,277.6755090206303,278.92511653854086,283.3334923294535,,,299.11442540453515,0.0,0.995442871088244,1.24960751791059,4.4083757909126575,,15.780933075081634,23.600522682678275
base_v15,1,844,276.37017839149354,276.37017839149354,276.6928293257268,277.6593923704894,278.58804783317555,279.24768589290164,283.9135228988609,283.9135228988609,285.00920450642883,299.67749639856186,0.0,0.9665630447626086,0.6596380597260918,4.665837005959247,0.0,15.763973499700969,23.30731800706832
base_v15,1,846,277.5351292683979,277.5351292683979,277.7147167331238,277.74248108195496,278.8944035997489,279.41970935640745,283.080570954594,283.1555821708633,284.1385082613387,299.76947974300305,0.0,0.0277643488311696,0.525305756658554,3.660861598186557,0.0750112162692744,16.688908788409037,22.23435047460515
base_v15,1,834,274.2997049674865,274.2997049674865,274.5384944494994,274.9550664843252,276.861398603043,277.97918026080976,282.35865717338714,282.35865717338714,283.2442766675733,299.81873820364143,0.0,0.4165720348257764,1.1177816577667272,4.379476912577388,0.0,17.460081030254287,25.51903323615494
base_v15,1,847,277.63832992820284,277.63832992820284,277.89780061875507,277.89780061875507,278.96869789310915,280.4250224069327,284.2657391307729,,,300.19002736268607,0.0,0.0,1.4563245138235743,3.84071672384016,,15.92428823191318,22.55169743448323
base_v15,1,841,275.7462514498898,275.7462514498898,276.0009536318662,276.861398603043,279.06000283124393,280.88916475320343,285.0128937283212,,,300.4242479983764,0.0,0.8604449711768325,1.8291619219594963,4.123728975117729,,15.4113542700552,24.677996548486533
base_v15,1,851,278.45088542613206,278.45088542613206,278.6333045857367,279.0079233359591,279.5147676229331,281.2081449475493,284.9375939304067,,,300.9742801310251,0.0,0.3746187502223961,1.693377324616165,3.729448982857434,,16.03668620061842,22.523394704893064
base_v15,1,848,277.92625031625295,277.92625031625295,278.0944673503312,278.58804783317555,279.0079233359591,280.52241134449247,283.7623998414926,,,301.21395244373593,0.0,0.4935804828443793,1.5144880085333623,3.2399884970001267,,17.45155260224334,23.287702127482987
base_v15,1,850,278.438362003756,278.438362003756,278.5723026227896,278.96869789310915,280.98377360181183,282.0877797764072,285.733957972329,,,301.3831275043811,0.0,0.3963952703195446,1.1040061745953835,3.6461781959217774,,15.6491695320521,22.944765500625124
base_v15,1,849,277.99224834839697,277.99224834839697,278.2642530296007,278.8944035997489,279.5648390143712,281.462718145172,285.35056715787454,285.35056715787454,286.40225450320946,301.55470280478124,0.0,0.6301505701482029,1.8978791308007883,3.887849012702532,0.0,16.204135646906707,23.562454456384277
base_v15,1,856,280.8608076124083,280.8608076124083,281.14424892967514,281.14424892967514,281.619352892589,282.71109607295654,286.36548360245166,,,301.6825931598913,0.0,0.0,1.09174318036753,3.654387529495125,,15.317109557439665,20.82178554748305
base_v15,1,860,282.0902337775794,282.0902337775794,282.2753559683969,283.7285926226786,283.87423262354463,283.87423262354463,287.6080163752964,287.6080163752964,288.70806817269306,302.6614182347959,0.0,1.4532366542816817,0.0,3.73378375175173,0.0,15.05340185949956,20.57118445721653
base_v15,1,857,280.946705697262,280.946705697262,281.17982361166526,281.17982361166526,282.2294108963802,282.9448819391877,287.32345576754506,287.32345576754506,288.37690879680207,302.789195704382,0.0,0.0,0.7154710428075077,4.378573828357332,0.0,15.46573993683694,21.842490007119977
base_v15,1,852,279.5749759219242,279.5749759219242,279.7966865064151,279.7966865064151,280.8797505083067,281.7849676576318,285.7585840495817,,,302.7937189939358,0.0,0.0,0.9052171493250968,3.9736163919499177,,17.03513494435407,23.21874307201159
base_v15,1,854,279.694170149084,279.694170149084,280.0217712391727,280.0217712391727,283.7285926226786,283.7285926226786,287.5968038247753,287.5968038247753,288.66138197929814,303.1479773504598,0.0,0.0,0.0,3.868211202096745,0.0,15.551173525684476,23.45380720137581
